iter	Passed	Remaining
649	752	405
650	753	403
651	753	402
652	754	401
653	755	399
654	756	398
655	757	397
656	757	395
657	758	394
658	759	393
659	760	391
660	761	390
661	762	389
662	762	387
663	764	386
664	765	385
665	766	384
666	767	383
667	768	381
668	769	380
669	770	379
670	770	377
671	771	376
672	772	375
673	773	374
674	774	372
675	774	371
676	775	370
677	776	368
678	777	367
679	778	366
680	779	365
681	780	364
682	781	362
683	782	361
684	783	360
685	784	358
686	784	357
687	785	356
688	786	355
689	787	353
690	788	352
691	789	351
692	789	349
693	790	348
694	791	347
695	792	346
696	793	345
697	795	343
698	795	342
699	796	341
700	797	340
701	798	338
702	799	337
703	800	336
704	800	335
705	801	333
706	802	332
707	803	331
708	804	330
709	805	328
710	805	327
711	806	326
712	807	324
713	809	324
714	810	322
715	810	321
716	811	320
717	812	319
718	813	317
719	814	316
720	815	315
721	815	314
722	816	312
723	817	311
724	818	310
725	819	309
726	819	307
727	820	306
728	821	305
729	822	304
730	824	303
731	825	302
732	826	300
733	826	299
734	827	298
735	828	297
736	829	295
737	830	294
738	831	293
739	831	292
740	832	291
741	833	289
742	834	288
743	835	287
744	835	286
745	836	284
746	837	283
747	838	282
748	840	281
749	840	280
750	841	279
751	842	277
752	843	276
753	844	275
754	845	274
755	846	273
756	846	271
757	847	270
758	848	269
759	849	268
760	850	267
761	851	265
762	851	264
763	852	263
764	854	262
765	855	261
766	857	260
767	858	259
768	859	258
769	860	257
770	861	255
771	862	254
772	863	253
773	864	252
774	865	251
775	865	249
776	866	248
777	867	247
778	870	246
779	871	245
780	872	244
781	876	244
782	877	243
783	878	242
784	879	241
785	881	239
786	882	238
787	885	238
788	886	237
789	887	236
790	889	234
791	890	233
792	891	232
793	892	231
794	893	230
795	895	229
796	896	228
797	897	227
798	898	225
799	899	224
800	900	223
801	901	222
802	901	221
803	902	220
804	903	218
805	904	217
806	905	216
807	906	215
808	906	214
809	907	212
810	908	211
811	909	210
812	910	209
813	911	208
814	911	206
815	912	205
816	914	204
817	915	203
818	916	202
819	916	201
820	917	200
821	918	198
822	919	197
823	920	196
824	920	195
825	921	194
826	922	193
827	923	191
828	924	190
829	925	189
830	926	188
831	926	187
832	927	185
833	929	184
834	930	183
835	931	182
836	932	181
837	932	180
838	933	179
839	934	178
840	935	176
841	936	175
842	937	174
843	937	173
844	938	172
845	939	171
846	940	169
847	941	168
848	942	167
849	942	166
850	944	165
851	945	164
852	946	163
853	947	161
854	948	160
855	949	159
856	950	158
857	951	157
858	951	156
859	952	155
860	953	153
861	954	152
862	955	151
863	956	150
864	957	149
865	959	148
866	961	147
867	962	146
868	962	145
869	963	144
870	964	142
871	966	141
872	968	140
873	969	139
874	970	138
875	971	137
876	971	136
877	972	135
878	974	134
879	976	133
880	977	131
881	977	130
882	978	129
883	979	128
884	980	127
885	981	126
886	982	125
887	982	123
888	983	122
889	984	121
890	985	120
891	986	119
892	987	118
893	990	117
894	992	116
895	994	115
896	996	114
897	998	113
898	999	112
899	1001	111
900	1002	110
901	1007	109
902	1008	108
903	1010	107
904	1011	106
905	1012	105
906	1013	103
907	1014	102
908	1016	101
909	1017	100
910	1019	99
911	1021	98
912	1022	97
913	1023	96
914	1024	95
915	1026	94
916	1027	93
917	1029	91
918	1030	90
919	1031	89
920	1032	88
921	1034	87
922	1036	86
923	1037	85
924	1038	84
925	1040	83
926	1041	82
927	1043	80
928	1044	79
929	1045	78
930	1046	77
931	1047	76
932	1049	75
933	1050	74
934	1051	73
935	1053	72
936	1054	70
937	1055	69
938	1056	68
939	1057	67
940	1059	66
941	1061	65
942	1064	64
943	1065	63
944	1067	62
945	1068	61
946	1071	59
947	1072	58
948	1078	57
949	1079	56
950	1081	55
951	1082	54
952	1084	53
953	1085	52
954	1086	51
955	1088	50
956	1089	48
957	1091	47
958	1093	46
959	1095	45
960	1096	44
961	1098	43
962	1099	42
963	1100	41
964	1101	39
965	1103	38
966	1104	37
967	1105	36
968	1107	35
969	1109	34
970	1111	33
971	1112	32
972	1114	30
973	1115	29
974	1117	28
975	1120	27
976	1121	26
977	1124	25
978	1126	24
979	1127	23
980	1128	21
981	1129	20
982	1131	19
983	1132	18
984	1134	17
985	1135	16
986	1137	14
987	1139	13
988	1141	12
989	1142	11
990	1144	10
991	1145	9
992	1147	8
993	1148	6
994	1149	5
995	1150	4
996	1151	3
997	1154	2
998	1155	1
999	1156	0
